consumer_id,consumer_name,consumer_type,connection_type,tariff_category,district,area,address,latitude,longitude,sanctioned_load_kw,meter_number,installation_date,base_consumption,is_anomalous
MN-IMP-000001,Khumanthem Zou,residential,single_phase,BPL Category,Imphal East,Sagolband,"Sagolband, Imphal East, Manipur",24.806218,93.99655,4.79,MNP876646,2020-12-12,9.59,True
MN-SEN-000002,Rajkumar Kom,residential,single_phase,BPL Category,Senapati,Senapati Town,"Senapati Town, Senapati, Manipur",25.319732,93.981204,2.2,MNP127824,2020-11-09,4.4,True
MN-SEN-000003,Naoba Lamkang,residential,single_phase,Domestic LT-I,Senapati,Maram,"Maram, Senapati, Manipur",25.211617,94.123235,4.21,MNP895667,2023-02-10,8.41,True
MN-UKH-000004,Konsam Angami,residential,single_phase,Domestic LT-II,Ukhrul,Lunghar,"Lunghar, Ukhrul, Manipur",25.141615,94.304117,5.86,MNP201414,2021-12-28,11.73,True
MN-CHU-000005,Nirmalabas High School,commercial,three_phase,Commercial HT,Churachandpur,Churachandpur Town,"Churachandpur Town, Churachandpur, Manipur",24.424866,93.681851,13.41,MNP182627,2020-11-28,26.82,True
MN-UKH-000006,Khogen Meetei,residential,single_phase,Domestic LT-I,Ukhrul,Jessami,"Jessami, Ukhrul, Manipur",25.036681,94.360848,3.86,MNP910620,2022-05-20,7.72,True
MN-BIS-000007,Manipur Food Industries,industrial,three_phase,Industrial HT,Bishnupur,Nambol,"Nambol, Bishnupur, Manipur",24.593195,93.793684,137.9,MNP575435,2020-06-10,275.79,True
MN-THO-000008,Medplus Manipur,commercial,single_phase,Commercial HT,Thoubal,Lilong,"Lilong, Thoubal, Manipur",24.613949,93.993822,19.41,MNP835911,2020-03-04,38.81,True
MN-THO-000009,Ningombam Thangal,residential,single_phase,BPL Category,Thoubal,Mayang Imphal,"Mayang Imphal, Thoubal, Manipur",24.645607,94.067776,2.4,MNP821590,2020-11-18,4.8,True
MN-UKH-000010,Tomba Anal,residential,single_phase,Domestic LT-I,Ukhrul,Ukhrul Town,"Ukhrul Town, Ukhrul, Manipur",25.102847,94.418483,1.71,MNP321231,2020-10-28,3.42,True
MN-UKH-000011,Big Bazaar Imphal,commercial,single_phase,Shops & Establishments,Ukhrul,Kasom,"Kasom, Ukhrul, Manipur",25.121509,94.334105,9.61,MNP581141,2023-03-16,19.23,True
MN-BIS-000012,Naoba Zeliang,residential,three_phase,Domestic LT-II,Bishnupur,Thanga,"Thanga, Bishnupur, Manipur",24.644889,93.894845,5.14,MNP479580,2022-10-10,10.28,True
MN-THO-000013,Cement Corporation Manipur,industrial,three_phase,Industrial LT,Thoubal,Mayang Imphal,"Mayang Imphal, Thoubal, Manipur",24.630461,93.964651,149.48,MNP892495,2023-09-28,298.95,True
MN-THO-000014,Sunrise School,commercial,three_phase,Commercial HT,Thoubal,Wangjing,"Wangjing, Thoubal, Manipur",24.644015,93.968306,23.59,MNP500156,2020-08-30,47.19,True
MN-CHU-000015,MSPDCL Substation,industrial,three_phase,Small Scale Industry,Churachandpur,Sangaikot,"Sangaikot, Churachandpur, Manipur",24.305158,93.786398,81.4,MNP855731,2023-05-13,162.81,True
MN-CHU-000016,Oinam Zeliang,residential,single_phase,Domestic LT-I,Churachandpur,Singngat,"Singngat, Churachandpur, Manipur",24.399378,93.696757,3.84,MNP857168,2019-12-21,7.68,True
MN-THO-000017,Ebomcha Monsang,residential,single_phase,BPL Category,Thoubal,Mayang Imphal,"Mayang Imphal, Thoubal, Manipur",24.654671,93.977728,5.86,MNP738551,2022-11-21,11.73,True
MN-THO-000018,Chinglen Anal,residential,single_phase,Domestic LT-I,Thoubal,Mayang Imphal,"Mayang Imphal, Thoubal, Manipur",24.677513,94.090925,5.53,MNP480612,2022-04-13,11.05,True
MN-BIS-000019,Rajkumar Inpui,residential,single_phase,BPL Category,Bishnupur,Karang,"Karang, Bishnupur, Manipur",24.60979,93.888281,1.9,MNP903035,2023-04-20,3.8,True
MN-CHA-000020,Maibam Chiru,residential,three_phase,Domestic LT-II,Chandel,Molnoi,"Molnoi, Chandel, Manipur",24.339197,94.013568,2.96,MNP322086,2020-12-24,5.93,True
MN-BIS-000021,NIT Manipur,commercial,three_phase,Shops & Establishments,Bishnupur,Ningthoukhong,"Ningthoukhong, Bishnupur, Manipur",24.588868,93.790702,34.43,MNP491559,2021-07-19,68.87,True
MN-CHA-000022,Gomti Restaurant,commercial,single_phase,Commercial HT,Chandel,Tengnoupal,"Tengnoupal, Chandel, Manipur",24.371351,94.08428,25.14,MNP122056,2020-09-15,50.28,True
MN-BIS-000023,Khogen Meitei,residential,single_phase,Domestic LT-I,Bishnupur,Bishnupur Bazar,"Bishnupur Bazar, Bishnupur, Manipur",24.564092,93.87033,1.84,MNP446479,2023-08-10,3.67,True
MN-CHU-000024,Wahengbam Zou,residential,single_phase,BPL Category,Churachandpur,Thanlon,"Thanlon, Churachandpur, Manipur",24.448033,93.765837,2.39,MNP704201,2021-05-09,4.79,True
MN-CHA-000025,Thangjam Vaiphei,residential,single_phase,Domestic LT-II,Chandel,Liwa Sarei,"Liwa Sarei, Chandel, Manipur",24.301104,94.244638,4.68,MNP544154,2021-09-13,9.36,True
MN-IMP-000026,Jilangamba Angami,residential,single_phase,Domestic LT-I,Imphal East,Khongman,"Khongman, Imphal East, Manipur",24.831031,93.983989,1.83,MNP360735,2022-12-06,3.67,True
MN-CHA-000027,Thangjam Lamkang,residential,single_phase,Domestic LT-I,Chandel,Machi,"Machi, Chandel, Manipur",24.371693,94.034761,5.38,MNP564656,2020-12-01,10.77,True
MN-IMP-000028,Ningombam Tangkhul,residential,single_phase,Domestic LT-I,Imphal East,Khongman,"Khongman, Imphal East, Manipur",24.823631,93.953163,1.79,MNP520521,2023-09-04,3.57,True
